CodeClass	Name	CoV	WYK3299	WYK3300	WYK3301	WYK3302	WYK3303	WYK3304	WYK3305	WYK3307	WYK3308	WYK3309	WYK3310	WYK3311	WYK3313	WYK3314	WYK3315	WYK3317	WYK3320	WYK3325	WYK3327	WYK3328	WYK3329	WYK3331	WYK3333	WYK3336	WYK3337	WYK3338	WYK3339	WYK3340	WYK3341	WYK3342	WYK3343	WYK3346	WYK3347	WYK3348	WYK3349	WYK3350	WYK3352	WYK3353	WYK3354	WYK3355	WYK3356	WYK3357	WYK3358	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
Endogenous	PDGFC	1.822900804	14.75015335	65.73315117	68.98610733	81.56219679	92.45208469	196.0602942	131.2902335	107.9362233	378.7542217	167.9302839	87.62787382	205.7137493	42.80475051	40.69061587	262.9244625	132.8527529	25.05103492	118.2312063	2317.60644	66.88817153	188.2849939	455.5854328	80.10109285	37.85456426	98.69345508	54.23457656	52.06327489	167.2622088	66.2301041	36.9074715	1166.627411	208.8216543	156.0144236	86.22147864	102.001728	146.4937545	95.10457127	72.74752979	508.2242626	83.20468474	116.1669454	87.2858636	59.97083585	20.82635323	273.9778094	394.3892712	257.7327663	65.37154593	16.92100395	42.74351105	115.3235482	102.24384	98.15588289	42.3411404	82.7842456	0	64.07824681	80.82895798	62.50024809	49.82557914	149.2955561	110.5743408	290.0738634	73.97841571	160.5688972	97.03924839
Endogenous	CAPN5	1.804051246	9.833435569	6.573315117	27.83649945	39.61592416	78.75547955	36.22853262	29.17560744	85.14968728	820.634147	466.4730109	14.71613148	68.57124975	24.09748917	8.477211639	111.5437114	40.87777012	28.18241429	17.80590457	471.3775811	119.1018973	57.39168263	886.8266058	8.161243422	8.771179523	129.5351598	43.85635512	29.31718392	111.9689167	18.01458832	27.44401727	171.046876	91.17565186	43.05592859	13.71705342	79.42991704	13.64848645	29.92801194	20.90946964	81.12499966	58.15381192	110.0528956	10.40001779	24.30536079	6.764114725	35.75566844	451.2080646	122.1844225	19.30190493	175.555416	45.63158612	28.26557553	41.23646585	14.81050304	28.7600199	29.88476916	0	4.368971374	33.25879817	73.4377915	46.22706509	29.96067282	75.40696639	77.84260638	6.617877444	118.4685156	40.22352265
Endogenous	UPK2	1.683108861	278.0677058	5.477762597	0	32.62487872	592.3781723	0	10.4198598	189.4880365	75.75084434	74.63568175	0	65.30595215	0	11.8680963	0	33.57816831	0	0	0	448.7650284	16.109946	445.1521786	12.99753582	3.923948734	644.5916285	291.5945444	106.6538932	37.32297222	2.649204164	0	0	14.7057503	0	0	190.5746571	6.369293676	14.6314725	0	0	621.7984505	523.7702626	89.88586805	48.87491027	1.780030191	11.62059224	63.50335723	34.36436884	293.8988165	712.1929697	117.2558479	0	187.5411872	4.356030306	149.6586221	48.77743932	0	0	22.77723754	104.6879155	294.8013432	3.046848083	78.45029687	11.01546317	0	6.853550491	49.77660928
Endogenous	CYP2J2	1.677103518	8.740831617	0	16.94395619	16.31243936	198.6007745	0	6.25191588	37.17803247	0	0	5.351320538	45.7141665	1.58536113	14.41125979	0	11.67936289	4.383931112	9.259070375	0	109.205178	67.46039888	38.25526535	8.463511697	6.924615413	17.88818873	36.49116571	32.34999605	22.11731687	18.01458832	13.24883592	0	26.47035054	0	19.5957906	34.85773338	10.00889006	11.97120478	0	0	133.3064304	172.8238065	208.0003558	9.246604647	11.92620228	3.575566844	0	21.00044762	14.56747542	54.54002165	19.06129547	0	22.59532375	0	24.23297973	2.74802475	0	28.54394631	9.473718267	27.60427624	38.19961067	7.109312195	12.17332193	9.546734745	9.454110634	10.76986506	17.34639414
Endogenous	CYP4B1	1.6118051	16.93536126	5.477762597	81.08893317	20.97313632	133.5419001	12.78654092	39.59546724	31.18157562	202.0022516	0	4.013490404	48.97946411	10.14631123	55.10187566	0	13.13928325	4.383931112	7.834598009	0	364.1310154	62.42604075	20.86650837	4.534024123	4.154769248	90.67461186	152.6602896	137.4874832	42.85230144	0	16.08787219	0	32.35265066	39.51014624	7.83831624	95.4301881	5.004445031	37.24374819	12.85061155	0	27.73489491	31.79305874	17.45717272	43.32694749	18.86832002	0	80.21476703	19.09131602	191.7443952	581.5084303	184.2591895	22.61246042	73.4348022	5.808040408	138.2078734	8.931080439	0	22.13612163	48.77957065	85.15658802	41.52131595	7.109312195	153.1809676	24.96838318	8.272346805	140.9873244	9.301689612
Endogenous	TMPRSS2	1.462877064	222.8912062	23.00660291	0	62.91940896	147.2385053	10.65545077	4.16794392	69.55889946	0	0	0	65.30595215	0	0	0	0	0	0	0	185.3075364	10.06871625	76.5105307	0	1.84656411	102.3944596	62.60410998	146.5859196	29.02897839	2.649204164	6.624417962	0	0	4.052322691	0	213.7179063	12.73858735	25.27254341	1.742455803	0	152.989259	79.48264686	37.51434989	45.17626842	2.314039248	3.128620988	23.39597372	15.27305282	32.77681969	218.9154886	115.5230028	0	49.14482916	3.775226265	19.1733466	15.80114231	0	24.75750445	22.37410059	38.80223736	104.0800986	8.124928222	47.34069639	22.03092633	3.545291488	23.4978874	35.94977337
Endogenous	TMEM97	1.346917301	391.6985168	23.00660291	0	32.62487872	198.6007745	0	8.33588784	85.14968728	126.2514072	0	9.364810942	62.04065454	28.21942811	42.3860582	0	14.59920361	46.34441461	12.82025129	0	143.3317961	19.13056088	27.82201116	30.83136404	15.46497442	122.1331507	130.5647214	66.21639817	22.11731687	8.477453325	7.570763385	0	29.4115006	12.66350841	10.77768483	38.57208201	9.553940513	14.6314725	9.147892968	16.70220581	97.51946921	28.93983552	150.0573996	19.81415281	36.49061891	19.21867179	30.08053764	19.09131602	117.4502705	50.91409224	213.7175553	19.22059136	102.8087231	5.808040408	94.80154707	19.23617325	0	26.505093	44.74820118	34.37513645	115.4292583	7.109312195	25.69923518	13.2185558	29.54409573	23.4978874	24.38551061
Endogenous	C10orf116	1.344996836	8.194529641	0	0	16.31243936	0	0	7.29390186	10.79362233	0	0	4.013490404	16.32648804	1.268288904	6.781769312	0	8.759522169	12.52551746	6.410125644	0	9.214186895	0	52.16627093	1.813609649	2.769846165	7.402009131	8.36953342	7.582030324	0	2.649204164	0	0	0	6.585024373	0	8.000135529	4.094545934	9.976003979	9.801313894	19.08823522	4.920707162	8.152066344	2.600004448	4.227019267	1.424024153	3.575566844	0	0	6.373270495	2.870527455	9.241840228	0	7.34348022	6.388844449	5.05963313	10.64859591	0	0	11.28783453	5.729189408	10.79554215	6.601504181	8.453695783	0	0	0	4.022352265
Endogenous	VGLL1	1.332302794	0	73.40201881	13.31310843	18.64278784	102.7245385	10.65545077	0	31.18157562	0	0	0	97.95892822	0	5.086326984	0	40.87777012	0	23.50379403	0	15.01571198	70.48101375	107.8102933	65.28994738	0	80.80526635	22.43034957	9.098436389	27.64664609	0	0	0	26.47035054	4.558863028	0	20.8574962	55.50384489	0	0	0	81.41533668	39.12991845	69.82869088	9.774982055	2.136036229	8.93891711	60.16107527	15.27305282	24.40052132	105.4541139	32.3464408	0	22.03044066	0	13.04852755	8.587577345	0	0	4.83764337	10.41670801	82.21220558	2.53904007	9.806287108	5.140549478	0	0	25.13970166
Endogenous	GDPD3	1.30884575	3.824113832	7.668867636	20.57480394	11.6517424	54.78642056	0	10.4198598	55.16740302	0	55.97676131	10.70264108	35.91827368	3.804866712	35.60428889	79.67407955	27.73848687	3.757655239	12.82025129	0	21.15850324	17.11681763	205.1873323	20.55424269	4.616410275	143.1055099	9.708658767	42.96483851	11.05865843	9.007294158	55.83437997	30.70072133	55.88185114	4.052322691	0	19.42890057	9.098990965	7.980803183	8.494472041	26.24632342	65.31120415	80.29785349	40.48578354	6.604717605	5.518093591	8.93891711	130.3489964	15.27305282	35.69031477	43.6622334	31.19121077	0	37.28228419	5.808040408	21.30371844	16.4881485	0	6.407824681	10.27999216	7.29169561	43.45897736	13.20300836	17.2455394	11.74982738	4.963408083	14.68617962	3.519558232
