	MLS16-13969-A2	MLS16-14353-A2	MS13-12480-B1	MS13-13904-A4	MS13-22090-A7	MS13-3651-B1	MS14-15702-A2	MS15-18215-A2	MS16-1383-A7	MS16-4507-A2	MS16-8096-A1	MLS16-24883-D1	MLS16-23390-C5	MS13-18727-C13	MS14-3317-I15	MLS16-16541-I8	MLS16-16928-H2	MLS16-21013-B4	MS16-4698-H30	MLS16-23752-C7	MLS16-24950-K3	MLS17-8288-I16	MLS17-10990-N9	MS14-10799-C14	MS15-19663-H15	MLS16-23764-D6	MS14-18376-B4	MS13-6884-K7	MS13-23696-G11	MS14-18625-N20	MLS17-12838-G5	MS13-17959-C23	MS16-460-G11	MLS16-18386-I8	MS13-14140-A16	MS14-4637-C7	MLS17-04999-F7	MS13-13729-A16	MS15-16859-A8	MLS17-06946-B5	SRH14-3861-E3-1909-113	NS-15-04293-A3-1909-114	SRH16-8466-B1-1909-117	RS16-4672-A1-1909-119	S16-11828-1909-121	13-304-V81-0016-0-1909-122	CHY-12-002872-1909-124	C516-5623A3-1909-125	D513-009920-1909-126	S12-25296-2-1909-127	S14-7061-2A-1909-129	S16-10584-A1-1909-130	S16-6579-A1-1909-131	SG12-8188-2C-1909-133	SRH16-2144-3-1909-135	SU13-00927-A1-1909-136	SU13-05653-A6-1909-137	SU-16-04064-A4-1909-138	SZB15-119-1A-1909-139
ALOX5AP	5.789174434	5.521813655	5.569640577	6.503692289	4.493483861	5.953092901	6.157652131	6.199684847	5.275204457	7.536232459	5.75415036	6.415493882	5.794291956	6.828582898	4.575240339	6.252209268	6.757910596	6.880644059	5.797017252	5.684844341	6.16966168	6.327416509	6.569148188	6.713337567	4.284931925	5.182951867	7.320275372	5.388033746	5.275393155	6.309248853	5.474972574	5.566563084	6.379928154	5.256092533	5.946723547	6.973762583	5.850789642	5.048747035	6.206999297	5.921758164	6.274698292	6.64231326	4.993687249	4.290746023	5.453745819	6.506594625	6.014860404	4.897049895	6.315458667	4.212517187	6.495474194	5.539522465	7.18679429	5.096783647	3.442150237	4.736734993	6.76686291	6.819345679	4.938446554
PALLD	5.987401347	6.089426715	6.84918735	8.016485312	5.193096852	6.352663111	6.419397517	6.896277508	5.753142054	7.6406565	8.399304241	7.540888049	10.5355683	10.12645296	9.538202352	7.793274253	7.352117487	8.218398499	9.396157972	9.147493809	7.814989767	9.098033703	10.00389103	7.978870813	10.22232475	10.13892873	8.023069797	10.1637322	9.246219144	8.415104647	10.66705439	10.105062	9.97282497	10.07683066	8.393276529	9.775381296	9.9901231	9.31741505	8.722598747	7.730540754	8.600175008	8.485000314	7.0147326	5.841244815	8.174062317	6.815450082	7.999824472	7.747072439	7.79034707	5.361248126	7.995731898	7.629757593	7.383165993	6.509342449	5.738679108	6.179672809	7.83451389	7.27103724	8.127377191
EMP3	6.501326145	4.37068128	6.10438229	6.321559377	4.856410019	4.980221692	6.157652131	5.978026967	4.973556993	7.452634449	5.669497327	4.844187412	6.30488955	7.853113628	6.174282483	7.437057619	6.202625677	6.570451169	5.797017252	6.540196387	5.538187614	6.737955699	6.359013239	6.612323719	5.259103578	5.472169334	5.371204519	6.121196003	5.8465307	4.423598336	5.671377067	7.364754136	5.794092662	5.190338113	5.613227612	5.973384207	6.668244033	5.321755444	5.261563656	5.688962433	6.436670655	5.747691175	4.746310144	3.415475816	5.290672741	7.448298044	5.639842017	4.513722582	5.619748224	3.740951125	5.863399022	4.812119861	5.344984335	5.199164648	2.733075881	4.367342781	5.666759328	4.928678896	3.928993832
MT1X	12.57043867	7.648135312	9.106343683	12.53132786	5.751190892	11.30068648	12.89904076	8.063994021	9.49397777	12.13511287	8.026444412	9.665795288	9.25897152	13.3106139	6.791470765	12.38742816	9.650802849	8.339685221	8.744856236	11.13148203	10.35916552	14.45379958	10.7869309	11.61073249	7.43326644	7.430827916	6.352203412	9.686671391	7.457016687	11.16940971	8.264158565	13.79769782	9.636666576	9.210222501	9.915781297	8.423548245	8.934586178	8.340813362	10.60761074	11.781555	9.676496817	9.154172222	8.24016003	4.776124177	6.301491717	14.15695293	7.815393759	5.975306614	6.254646441	7.932958947	6.285817931	5.551563529	6.302877832	9.334892853	7.033977253	7.273446572	7.672836447	6.656376348	8.772736873
GDPD3	5.789174434	8.795570018	9.733749211	3.773093867	7.774063844	3.343647951	5.707329668	5.558780965	4.81446619	4.85138116	5.438889393	5.576970471	4.374073481	7.585206332	5.23702833	4.263020367	2.8428327	4.483657873	3.445460488	4.778458316	5.18772948	7.458427286	7.65661928	4.897287445	3.244316819	5.249993781	6.953203981	5.384464161	6.366582467	3.959611632	4.415204288	5.378260311	4.301068277	3.578429899	9.257482624	5.215431828	4.74705551	4.530641319	4.328477156	8.644878427	6.516896312	3.916721245	7.470067406	7.298355182	6.694189727	6.155540595	4.417652944	5.918175226	7.318993735	6.817564461	3.040169214	4.875758099	5.188341277	8.483281145	4.863627651	8.958520731	5.907739744	5.115390663	4.360855254
CD14	11.6187968	7.230835711	10.27029486	8.578781873	6.292581319	8.236201458	9.960495379	8.161636299	7.68356636	10.80601351	7.705898947	7.476040415	6.929796968	11.66340397	7.551821603	9.618419656	9.656700648	9.720335695	7.062345703	9.983373937	7.414694681	10.97009949	10.77532408	10.43187321	5.474438129	6.769395128	7.325517367	6.653251809	7.073948496	8.165161925	6.363577596	10.15177399	7.591015464	6.387181497	9.171978702	8.409216369	8.303969411	6.534531023	9.141334614	9.646331465	10.53613863	8.335754134	7.535828084	5.473716794	7.312955196	10.93413016	8.242035054	6.289612164	7.290148317	5.158747783	7.462280659	6.429216147	8.620573785	8.624287746	4.40989775	6.360662655	8.437453033	7.202162303	7.073143704
SCNN1B	5.716546311	8.472139947	8.587089643	2.891907791	7.150629348	1.637808847	6.300116125	5.447824919	6.395823947	3.517321585	6.60548872	1.965109943	2.586805592	0	4.782539066	0	1.612631381	5.302706257	3.584159389	2.297995699	1.258156598	4.777944302	4.039524395	2.860184288	5.484405362	6.544549851	8.640537291	6.234582473	7.051784155	0	5.925530444	3.478737398	2.873688003	6.278365882	5.536167383	6.556338671	2.427195775	6.090260727	4.822841103	7.14897067	5.934235031	3.812645857	3.836844939	8.156932938	5.7624213	3.744522487	2.361226913	8.171912044	8.029019641	6.943245377	4.367627989	4.697585366	4.639258493	6.393191989	6.966672498	7.278322038	7.24383381	5.649261983	5.426562822
TMEM97	6.739882157	8.290705925	6.695880633	2.550969696	7.350905864	5.154298005	2.570379424	6.024594168	4.527855676	3.900511243	6.393125754	4.719605418	4.222969108	0	5.801262901	0	4.877825562	5.057289944	4.939319153	2.973803453	5.602972066	0	3.921947156	2.774771317	7.127802944	9.198061145	7.489280417	6.082064571	7.083179931	3.437851281	6.17343328	0	4.340795927	5.994485611	4.630095252	4.629829233	3.755946553	5.958555296	2.880424037	4.503383936	4.050304518	5.276229273	5.657212662	7.776522751	6.726456975	0	6.697873272	9.848188596	7.717686302	6.107417516	5.805206098	6.873621554	6.82964615	6.571743463	7.232649385	7.370241701	4.758573126	7.869996223	3.496703952
RNF128	6.62552933	7.482479833	6.06317871	5.093984995	6.468682785	4.330894266	4.038824686	6.176672334	2.860505548	0	4.639407367	5.115404576	2.845177977	0	3.894836313	0	0	4.177761633	5.248339379	5.120622108	5.449063084	5.380909176	4.994977831	4.03948929	6.96293421	7.007584679	5.766530956	6.337858699	6.12874979	5.262260033	7.239017782	0	2.358352949	6.586565405	2.961500286	3.18842059	2.858967032	3.327037182	2.996299034	5.283216858	5.127879552	4.792648741	4.816029426	7.25552155	5.259508787	4.132396655	5.549579771	7.021791953	5.941001569	6.351171377	5.133211142	8.108116628	4.903941217	5.179261448	6.825975229	7.386137606	3.898333605	6.578053834	2.598892225
TRAK1	5.987401347	8.452537959	7.965385159	7.196084022	8.151870949	6.457502135	5.821994137	7.522518961	6.943951872	6.516800333	8.200790508	7.769320473	6.31826553	5.494556806	6.778620225	4.659149218	6.123919474	7.211724118	6.492588783	4.016250765	5.538187614	3.722548783	5.67791121	4.306206972	7.577596472	7.84517957	7.226517269	6.978538945	7.685577949	5.506583082	7.511313223	4.412536113	5.829431415	7.556847537	5.686379613	5.781598861	4.885784356	6.271402114	5.182218656	6.159100318	5.576014335	6.126157732	7.099501711	7.911405887	7.406256451	4.215012422	6.858853981	8.788539459	7.057993406	6.843770935	6.649556975	8.84676053	6.171772487	6.609416491	7.199256576	7.085961601	6.39432656	7.470577782	6.502650587
