	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
SCNN1B	2.564797083	4.649739343	3.711806082	4.295927796	2.85836219	7.214443843	6.481815332	5.643263528	2.602446337	3.109275379	4.260176267	0	4.257288963	5.530157166	0	1.914505653	3.778386358	5.569950347	4.530902055	2.771515703	0	4.779803415	2.474789834	5.141036057	3.12666604	3.055844001	0	6.364840929	4.445446583	5.196024839	4.754269724	2.451398022	5.474100657	0	6.2062794	6.399109156	5.932438277	0	3.747111087	3.190813406	5.689196583	3.8476583	3.099780574	3.797052659	4.824964265	6.588298149	2.016798692	4.412027461	2.618367759	4.792223517	3.779051901	3.466742043
TMEM97	8.617278339	4.585359362	0	5.071457159	3.222787229	6.428773654	6.9915378	5.978210609	4.868856037	5.439159612	5.565122331	3.788711943	4.331315464	4.849099103	4.992377076	4.041328365	7.039628877	6.070741332	4.530902055	3.244499446	0	4.9265451	3.77225607	5.306411067	3.399709852	3.966381783	4.145857236	6.62233695	4.903994391	7.238953046	5.228457737	4.337616321	4.957939555	4.328500161	6.888137683	5.698054311	7.74629634	4.337753285	6.697783869	2.7672396	6.581977049	4.338864591	4.781626876	5.515643113	5.144663808	6.863309838	3.019579555	4.73872651	3.829703031	4.932821624	4.614585437	4.665933374
RNF128	6.688718464	3.822386535	3.243665744	4.113737113	2.369590415	6.116023842	6.262110717	6.120419332	2.525087493	2.605571844	2.860517654	0	6.15948819	4.849099103	2.687246378	2.299815741	6.234988998	5.185184996	5.625902572	2.389216189	5.173388865	4.616428305	2.474789834	5.306411067	3.460597116	3.769377346	4.328278922	6.686400227	3.853088387	5.899316187	2.297504408	3.848835796	5.853466595	4.97939001	4.785845685	3.775129889	5.932438277	4.120520638	4.560429062	2.7672396	5.572946772	2.538300587	5.599203385	4.288675979	4.939584754	5.509892551	3.412558299	4.958617996	3.398724506	5.330363319	0	4.515481632
TRAK1	7.796054541	6.106939888	5.516659916	6.557868621	6.759216512	7.014848196	6.002830845	5.734567693	5.95135157	5.521340431	6.226904466	5.541735232	5.331561677	5.294814272	5.768223625	5.655225586	7.421254446	6.854761093	5.408371155	5.6966816	0	5.753302368	4.948875524	6.114510103	5.539002273	5.812512482	4.889101276	7.402574823	6.143641723	6.591818614	5.006770541	5.441611498	5.676217454	5.48896568	6.738717723	7.714899825	6.34497913	4.755118822	5.787348276	5.687339331	6.755571087	5.695950896	5.225278585	6.584041755	6.212907286	6.978625415	5.044040173	6.176905008	5.237189328	5.880353159	5.55510126	6.137207917
SLC9A2	4.930751845	5.034348808	4.966110395	5.258729045	4.378354418	5.613875042	7.665351919	5.734567693	2.443344387	4.357382163	3.377698227	4.17741303	4.653342049	6.811060522	4.188186599	2.0811648	4.42099848	6.215153598	5.260137552	3.468189138	6.845882043	5.902628384	3.476486254	4.247950668	3.575165774	4.294390935	5.741268686	4.600598318	5.188301558	4.813233869	2.581130556	3.60568946	6.401853123	5.220078407	5.428396531	6.474578624	4.326342867	4.120520638	4.452903396	2.994516094	3.784737546	3.361008012	3.557875193	3.416202916	4.377938956	4.532610072	3.543986798	4.663722828	4.525500534	3.757737651	5.292195241	3.399593123
TOX3	2.917550854	3.115843555	4.5846841	4.603091287	2.85836219	5.208624206	7.83448706	6.051066479	1.686839151	3.368060487	5.710244991	3.021899296	4.009264247	5.634840652	2.301437685	2.0811648	6.114687529	6.144753651	4.693876167	2.9796469	6.397983105	5.586716742	3.186602827	5.187022285	2.881526348	4.084200903	4.767989663	6.812330287	3.893217817	3.952868333	2.13160837	2.451398022	5.767562412	6.273614057	3.229018479	2.544626967	5.848153976	3.061611987	3.060649284	2.421164124	3.440017967	2.35671771	1.856540695	3.619158789	4.499186983	4.664435737	3.34206318	3.603938251	3.586820357	2.107332582	4.614585437	3.735354699
FBP1	8.081473724	6.195868558	4.966110395	6.099718227	7.156943564	6.408548766	8.417341151	7.176652834	4.631128557	4.72419376	4.518513458	5.222033454	5.179531229	6.210092285	5.416604067	4.965206505	8.465667401	6.630244195	6.1598501	6.395491477	5.487298969	6.817158941	5.040543599	6.783256346	3.916804892	8.691190401	5.377210524	6.959596485	6.553568725	4.923287421	3.946566611	5.199894854	6.708887176	5.864779151	5.567844393	6.491634289	6.987776447	5.078441938	7.483317394	4.180602945	5.099592301	5.157602099	4.856060276	5.869057441	7.578221121	6.596574952	5.763407364	6.766451497	5.540107299	5.01947588	6.751136591	6.255861456
TBX2	7.66627181	6.23835833	6.052138919	7.954294846	6.534415978	9.159524978	0	6.368636367	6.002193324	4.769737685	5.506703074	5.427000502	5.791060437	8.696454378	6.281255765	5.182515072	7.576076276	7.829405449	6.131684449	5.474012462	5.173388865	7.210013793	5.732639722	7.417876813	5.660766097	5.611314609	5.201259066	7.660364324	7.174689717	6.262500025	5.084513273	5.818167646	5.105293369	5.144224608	6.544135666	6.424706818	7.013803165	4.842992104	6.11584175	5.612244362	6.969938527	6.985524706	4.550124107	7.331323358	7.233425643	9.157218739	5.928875904	7.233249047	6.260016503	4.690251719	5.802927407	6.236751226
CDK6	4.290886393	7.443750003	6.715403363	6.661136538	6.20826399	5.780523013	10.51719332	9.201520091	4.959856449	6.992207073	4.595277315	6.492326268	7.313598183	8.431695611	6.56534074	6.617290199	4.896814088	4.715532894	7.664059786	6.126793422	10.69976743	7.954525562	6.640611755	5.164212391	7.376313707	6.946874883	9.48544458	5.960816819	5.581181943	6.084431213	4.864160238	6.35574222	8.300007024	8.436931448	5.606101117	3.940414598	5.469922631	6.745218021	6.271635164	5.054615138	4.672384392	5.315270937	7.029152669	5.332917427	5.909648746	5.119798974	6.77703716	5.927236714	7.179266056	6.295056381	7.412617308	5.499714362
CAPN5	3.437418927	2.920924959	4.849824137	5.343973566	4.915310908	6.428773654	9.682352331	6.120419332	4.649471135	3.244462656	4.867027339	4.233113797	5.86769098	9.794134133	3.195543423	3.288532727	5.487240491	4.922063847	6.819782061	4.249034799	7.426657886	6.526313809	5.46126427	6.329660327	3.872679701	4.950842195	6.359749554	5.886399235	6.7951032	3.510964171	2.956821436	5.199894854	8.820842911	6.944676019	4.343543197	7.463977268	5.543235597	4.871132746	5.400417217	3.982811365	4.895303586	4.948823643	2.424645713	5.098402636	6.217963348	5.561541977	4.952364919	6.255632277	6.300903565	2.929389078	6.900486654	5.365395887
